camera,mean_distance,variance,pair_count,mean_z_score,variance_z_score,z_score,flagged
c01,0.6865406026018628,0.018731627744756073,370,0.6744907594765952,-0.6744907594765952,0.6744907594765952,False
c02,0.6450775517908204,0.018858518063564995,431,-0.6845849640680751,0.0,0.0,False
c03,0.6659630555621614,0.02520404384478311,291,0.0,33.72990582439303,33.72990582439303,True
